row_idx,uid,num_pred_unique,num_chosen,num_rejected,hits_chosen,hits_rejected,recall_chosen,recall_rejected,pass_chosen,pass_rejected
0,10809,11,3,3,0,0,0.0,0.0,False,False
1,8926,8,3,3,0,0,0.0,0.0,False,False
2,180841,10,3,3,0,0,0.0,0.0,False,False
3,190423,27,3,3,0,0,0.0,0.0,False,False
4,92236,21,3,3,0,0,0.0,0.0,False,False
5,39185,15,3,3,0,0,0.0,0.0,False,False
6,9498,15,3,3,0,0,0.0,0.0,False,False
7,108429,6,3,3,0,0,0.0,0.0,False,False
8,157146,5,3,3,0,0,0.0,0.0,False,False
9,166530,9,3,3,0,0,0.0,0.0,False,False
10,110068,17,3,3,0,0,0.0,0.0,False,False
11,50810,13,3,3,0,0,0.0,0.0,False,False
12,63420,12,3,3,0,0,0.0,0.0,False,False
13,123539,9,3,3,0,0,0.0,0.0,False,False
14,105604,4,3,3,0,1,0.0,0.3333333333333333,False,True
15,47198,24,3,3,0,0,0.0,0.0,False,False
16,138784,10,3,3,0,0,0.0,0.0,False,False
17,44802,16,3,3,0,0,0.0,0.0,False,False
18,72095,9,3,3,0,0,0.0,0.0,False,False
19,148398,21,3,3,0,0,0.0,0.0,False,False
20,148919,7,3,3,0,0,0.0,0.0,False,False
21,35618,15,3,3,0,0,0.0,0.0,False,False
22,95630,18,3,3,0,0,0.0,0.0,False,False
23,126261,14,3,3,0,0,0.0,0.0,False,False
24,146954,19,3,3,0,0,0.0,0.0,False,False
25,76003,15,3,3,0,0,0.0,0.0,False,False
26,145809,4,3,3,0,0,0.0,0.0,False,False
27,55691,10,3,3,0,0,0.0,0.0,False,False
28,60233,12,3,3,0,0,0.0,0.0,False,False
29,136353,16,3,3,0,0,0.0,0.0,False,False
30,87421,17,3,3,0,0,0.0,0.0,False,False
31,84397,4,3,3,0,0,0.0,0.0,False,False
32,58672,7,3,3,0,0,0.0,0.0,False,False
33,23302,28,3,3,0,0,0.0,0.0,False,False
34,28799,25,3,3,0,0,0.0,0.0,False,False
35,189040,9,3,3,0,0,0.0,0.0,False,False
36,153222,17,3,3,0,0,0.0,0.0,False,False
37,72598,3,3,3,0,0,0.0,0.0,False,False
38,69511,6,3,3,0,0,0.0,0.0,False,False
39,193494,10,3,3,0,0,0.0,0.0,False,False
40,144841,20,3,3,0,0,0.0,0.0,False,False
41,106048,15,3,3,0,0,0.0,0.0,False,False
42,76511,20,3,3,0,0,0.0,0.0,False,False
43,187834,14,3,3,0,0,0.0,0.0,False,False
44,96606,18,3,3,0,0,0.0,0.0,False,False
45,110643,12,3,3,0,0,0.0,0.0,False,False
46,162485,12,3,3,0,0,0.0,0.0,False,False
47,48114,14,3,3,0,0,0.0,0.0,False,False
48,127588,5,3,3,0,1,0.0,0.3333333333333333,False,True
49,3127,4,3,3,0,0,0.0,0.0,False,False
50,101495,14,3,3,0,0,0.0,0.0,False,False
51,106308,7,3,3,0,0,0.0,0.0,False,False
52,26565,17,3,3,0,0,0.0,0.0,False,False
53,149018,5,3,3,0,0,0.0,0.0,False,False
54,83338,19,3,3,0,0,0.0,0.0,False,False
55,160267,12,3,3,0,0,0.0,0.0,False,False
56,60072,9,3,3,0,0,0.0,0.0,False,False
57,121344,17,3,3,0,0,0.0,0.0,False,False
58,69260,13,3,3,0,0,0.0,0.0,False,False
59,96890,7,3,3,0,0,0.0,0.0,False,False
60,73476,4,3,3,0,0,0.0,0.0,False,False
61,37471,8,3,3,0,0,0.0,0.0,False,False
62,138484,8,3,3,0,0,0.0,0.0,False,False
63,127791,14,3,3,0,0,0.0,0.0,False,False
64,68360,6,3,3,0,0,0.0,0.0,False,False
65,182290,8,3,3,0,0,0.0,0.0,False,False
66,168928,19,3,3,0,1,0.0,0.3333333333333333,False,True
67,12553,10,3,3,0,1,0.0,0.3333333333333333,False,True
68,118437,12,3,3,0,0,0.0,0.0,False,False
69,148074,14,3,3,0,0,0.0,0.0,False,False
70,17009,7,3,3,0,0,0.0,0.0,False,False
71,170203,10,3,3,0,0,0.0,0.0,False,False
72,28594,9,3,3,0,0,0.0,0.0,False,False
73,140620,24,3,3,0,0,0.0,0.0,False,False
74,87179,19,3,3,0,0,0.0,0.0,False,False
75,124147,19,3,3,0,0,0.0,0.0,False,False
76,185978,19,3,3,0,0,0.0,0.0,False,False
77,113158,26,3,3,0,0,0.0,0.0,False,False
78,148974,8,3,3,0,2,0.0,0.6666666666666666,False,True
79,108609,17,3,3,0,0,0.0,0.0,False,False
80,11769,14,3,3,0,1,0.0,0.3333333333333333,False,True
81,122964,18,3,3,0,0,0.0,0.0,False,False
82,129434,18,3,3,0,0,0.0,0.0,False,False
83,51062,18,3,3,0,0,0.0,0.0,False,False
84,176640,28,3,3,0,0,0.0,0.0,False,False
85,190666,25,3,3,0,1,0.0,0.3333333333333333,False,True
86,48112,8,3,3,0,0,0.0,0.0,False,False
87,33714,12,3,3,0,0,0.0,0.0,False,False
88,126551,7,3,3,0,0,0.0,0.0,False,False
89,145395,14,3,3,0,0,0.0,0.0,False,False
90,55260,18,3,3,0,0,0.0,0.0,False,False
91,105824,8,3,3,0,0,0.0,0.0,False,False
92,7178,10,3,3,0,0,0.0,0.0,False,False
93,43136,19,3,3,0,0,0.0,0.0,False,False
94,101934,20,3,3,0,0,0.0,0.0,False,False
95,140443,16,3,3,0,0,0.0,0.0,False,False
96,36408,9,3,3,0,0,0.0,0.0,False,False
97,193050,13,3,3,0,0,0.0,0.0,False,False
98,128807,5,3,3,0,0,0.0,0.0,False,False
99,188670,24,3,3,0,0,0.0,0.0,False,False
